Version,OCP Version,Operator Version,Index,Max,Min,Avg,Availability,Number of Nines,Cluster,Duration,Kernel,Sideloaded
4.12,4.12.0-0.nightly-2022-10-24-103753,4.12,0,9,1,1,100,100,worker-1,8h,4.18.0-372.26.1.rt7.183.el8_6.x86_64,No
4.12,4.12.0-0.nightly-2022-10-24-103753,4.12,7,9,1,1,100,100,worker-1,8h,4.18.0-372.26.1.rt7.183.el8_6.x86_64,No
4.12,4.12.0-0.nightly-2022-10-24-103753,4.12,8,9,1,1,100,100,worker-1,8h,4.18.0-372.26.1.rt7.183.el8_6.x86_64,No
4.12,4.12.0-0.nightly-2022-10-24-103753,4.12,9,18,1,1,100,100,worker-1,8h,4.18.0-372.26.1.rt7.183.el8_6.x86_64,No
4.12,4.12.0-0.nightly-2022-10-24-103753,4.12,10,9,1,1,100,100,worker-1,8h,4.18.0-372.26.1.rt7.183.el8_6.x86_64,No
4.12,4.12.0-0.nightly-2022-10-24-103753,4.12,11,7,1,1,100,100,worker-1,8h,4.18.0-372.26.1.rt7.183.el8_6.x86_64,No
4.12,4.12.0-0.nightly-2022-10-24-103753,4.12,12,9,1,1,100,100,worker-1,8h,4.18.0-372.26.1.rt7.183.el8_6.x86_64,No
4.12,4.12.0-0.nightly-2022-10-24-103753,4.12,13,7,1,1,100,100,worker-1,8h,4.18.0-372.26.1.rt7.183.el8_6.x86_64,No
4.12,4.12.0-0.nightly-2022-10-24-103753,4.12,1,9,1,1,100,100,worker-1,8h,4.18.0-372.26.1.rt7.183.el8_6.x86_64,No
4.12,4.12.0-0.nightly-2022-10-24-103753,4.12,2,9,1,1,100,100,worker-1,8h,4.18.0-372.26.1.rt7.183.el8_6.x86_64,No
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,4.12,3,7,1,1,100,100,worker-0,8h,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,4.12,4,8,1,1,100,100,worker-0,8h,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,4.12,5,27,1,1,100,11,worker-0,8h,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,4.12,6,20,1,1,100,11,worker-0,8h,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,4.12,0,19,1,1,100,100,worker-0,8h,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,4.12,7,8,1,1,100,100,worker-0,8h,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,4.12,8,19,1,1,100,100,worker-0,8h,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,4.12,9,19,1,1,100,100,worker-0,8h,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,4.12,10,18,1,1,100,100,worker-0,8h,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,4.12,11,7,1,1,100,100,worker-0,8h,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,4.12,12,7,1,1,100,100,worker-0,8h,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,4.12,13,7,1,1,100,100,worker-0,8h,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,4.12,1,19,1,1,100,100,worker-0,8h,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
