Version,OCP Version,Operator Version,Reboot Type,Stage,Iteration,Seconds,Total Minutes,Cluster,Kernel,Sideloaded
4.12,4.12.0-rc.1,4.12,Power off/on,Cluster Recovery,1,54,,cnfdf35,4.18.0-372.36.1.rt7.193.el8_6.x86_64,Yes
4.12,4.12.0-rc.1,4.12,Power off/on,Node Pingable,2,231,7.77,cnfdf35,4.18.0-372.36.1.rt7.193.el8_6.x86_64,Yes
4.12,4.12.0-rc.1,4.12,Power off/on,OC Reachable,2,37,,cnfdf35,4.18.0-372.36.1.rt7.193.el8_6.x86_64,Yes
4.12,4.12.0-rc.1,4.12,Power off/on,Workload Recovery,2,125,,cnfdf35,4.18.0-372.36.1.rt7.193.el8_6.x86_64,Yes
4.12,4.12.0-rc.1,4.12,Power off/on,Cluster Recovery,2,73,,cnfdf35,4.18.0-372.36.1.rt7.193.el8_6.x86_64,Yes
4.12,4.12.0-rc.1,4.12,Power off/on,Node Pingable,3,264,7.88,cnfdf35,4.18.0-372.36.1.rt7.193.el8_6.x86_64,Yes
4.12,4.12.0-rc.1,4.12,Power off/on,OC Reachable,3,40,,cnfdf35,4.18.0-372.36.1.rt7.193.el8_6.x86_64,Yes
4.12,4.12.0-rc.1,4.12,Power off/on,Workload Recovery,3,80,,cnfdf35,4.18.0-372.36.1.rt7.193.el8_6.x86_64,Yes
4.12,4.12.0-rc.1,4.12,Power off/on,Cluster Recovery,3,89,,cnfdf35,4.18.0-372.36.1.rt7.193.el8_6.x86_64,Yes
4.12,4.12.0-rc.1,4.12,Power off/on,Node Pingable,4,336,8.93,cnfdf35,4.18.0-372.36.1.rt7.193.el8_6.x86_64,Yes
4.12,4.12.0-rc.1,4.12,Power off/on,OC Reachable,4,36,,cnfdf35,4.18.0-372.36.1.rt7.193.el8_6.x86_64,Yes
4.12,4.12.0-rc.1,4.12,Power off/on,Workload Recovery,4,75,,cnfdf35,4.18.0-372.36.1.rt7.193.el8_6.x86_64,Yes
4.12,4.12.0-rc.1,4.12,Power off/on,Cluster Recovery,4,89,,cnfdf35,4.18.0-372.36.1.rt7.193.el8_6.x86_64,Yes
4.12,4.12.0-rc.1,4.12,Power off/on,Node Pingable,5,234,7.90,cnfdf35,4.18.0-372.36.1.rt7.193.el8_6.x86_64,Yes
4.12,4.12.0-rc.1,4.12,Power off/on,OC Reachable,5,41,,cnfdf35,4.18.0-372.36.1.rt7.193.el8_6.x86_64,Yes
4.12,4.12.0-rc.1,4.12,Power off/on,Workload Recovery,5,145,,cnfdf35,4.18.0-372.36.1.rt7.193.el8_6.x86_64,Yes
4.12,4.12.0-rc.1,4.12,Power off/on,Cluster Recovery,5,54,,cnfdf35,4.18.0-372.36.1.rt7.193.el8_6.x86_64,Yes
4.12,4.12.0,4.12,Soft reboot,Node Pingable,1,318,8.35,cnfdf35,4.18.0-372.42.1.el8_6.4139_755536100.x86_64,Yes
4.12,4.12.0,4.12,Soft reboot,OC Reachable,1,39,,cnfdf35,4.18.0-372.42.1.el8_6.4139_755536100.x86_64,Yes
4.12,4.12.0,4.12,Soft reboot,Workload Recovery,1,90,,cnfdf35,4.18.0-372.42.1.el8_6.4139_755536100.x86_64,Yes
4.12,4.12.0,4.12,Soft reboot,Cluster Recovery,1,54,,cnfdf35,4.18.0-372.42.1.el8_6.4139_755536100.x86_64,Yes
4.12,4.12.0,4.12,Soft reboot,Node Pingable,2,239,7.40,cnfdf35,4.18.0-372.42.1.el8_6.4139_755536100.x86_64,Yes
4.12,4.12.0,4.12,Soft reboot,OC Reachable,2,36,,cnfdf35,4.18.0-372.42.1.el8_6.4139_755536100.x86_64,Yes
4.12,4.12.0,4.12,Soft reboot,Workload Recovery,2,115,,cnfdf35,4.18.0-372.42.1.el8_6.4139_755536100.x86_64,Yes
4.12,4.12.0,4.12,Soft reboot,Cluster Recovery,2,54,,cnfdf35,4.18.0-372.42.1.el8_6.4139_755536100.x86_64,Yes
4.12,4.12.0,4.12,Power off/on,Node Pingable,1,231,7.28,cnfdf35,4.18.0-372.42.1.el8_6.4139_755536100.x86_64,Yes
4.12,4.12.0,4.12,Power off/on,OC Reachable,1,43,,cnfdf35,4.18.0-372.42.1.el8_6.4139_755536100.x86_64,Yes
4.12,4.12.0,4.12,Power off/on,Workload Recovery,1,125,,cnfdf35,4.18.0-372.42.1.el8_6.4139_755536100.x86_64,Yes
4.12,4.12.0,4.12,Power off/on,Cluster Recovery,1,38,,cnfdf35,4.18.0-372.42.1.el8_6.4139_755536100.x86_64,Yes
4.12,4.12.0,4.12,Power off/on,Node Pingable,2,231,7.72,cnfdf35,4.18.0-372.42.1.el8_6.4139_755536100.x86_64,Yes
4.12,4.12.0,4.12,Power off/on,OC Reachable,2,69,,cnfdf35,4.18.0-372.42.1.el8_6.4139_755536100.x86_64,Yes
4.12,4.12.0,4.12,Power off/on,Workload Recovery,2,125,,cnfdf35,4.18.0-372.42.1.el8_6.4139_755536100.x86_64,Yes
4.12,4.12.0,4.12,Power off/on,Cluster Recovery,2,38,,cnfdf35,4.18.0-372.42.1.el8_6.4139_755536100.x86_64,Yes
4.13,4.13.0-0.ci.test-2023-03-02-214629-ci-ln-xw171tb-latest,4.13,Soft reboot,Node Pingable,1,269,8.28,cnfdf35,5.14.0-283.rt14.283.el9.x86_64,Yes
4.13,4.13.0-0.ci.test-2023-03-02-214629-ci-ln-xw171tb-latest,4.13,Soft reboot,OC Reachable,1,36,,cnfdf35,5.14.0-283.rt14.283.el9.x86_64,Yes
4.13,4.13.0-0.ci.test-2023-03-02-214629-ci-ln-xw171tb-latest,4.13,Soft reboot,Workload Recovery,1,100,,cnfdf35,5.14.0-283.rt14.283.el9.x86_64,Yes
4.13,4.13.0-0.ci.test-2023-03-02-214629-ci-ln-xw171tb-latest,4.13,Soft reboot,Cluster Recovery,1,92,,cnfdf35,5.14.0-283.rt14.283.el9.x86_64,Yes
4.13,4.13.0-0.ci.test-2023-03-02-214629-ci-ln-xw171tb-latest,4.13,Soft reboot,Node Pingable,2,171,8.00,cnfdf35,5.14.0-283.rt14.283.el9.x86_64,Yes
4.13,4.13.0-0.ci.test-2023-03-02-214629-ci-ln-xw171tb-latest,4.13,Soft reboot,OC Reachable,2,36,,cnfdf35,5.14.0-283.rt14.283.el9.x86_64,Yes
4.13,4.13.0-0.ci.test-2023-03-02-214629-ci-ln-xw171tb-latest,4.13,Soft reboot,Workload Recovery,2,95,,cnfdf35,5.14.0-283.rt14.283.el9.x86_64,Yes
4.13,4.13.0-0.ci.test-2023-03-02-214629-ci-ln-xw171tb-latest,4.13,Soft reboot,Cluster Recovery,2,178,,cnfdf35,5.14.0-283.rt14.283.el9.x86_64,Yes
4.13,4.13.0-0.ci.test-2023-03-02-214629-ci-ln-xw171tb-latest,4.13,Power off/on,Node Pingable,1,231,7.50,cnfdf35,5.14.0-283.rt14.283.el9.x86_64,Yes
4.13,4.13.0-0.ci.test-2023-03-02-214629-ci-ln-xw171tb-latest,4.13,Power off/on,OC Reachable,1,15,,cnfdf35,5.14.0-283.rt14.283.el9.x86_64,Yes
4.13,4.13.0-0.ci.test-2023-03-02-214629-ci-ln-xw171tb-latest,4.13,Power off/on,Workload Recovery,1,150,,cnfdf35,5.14.0-283.rt14.283.el9.x86_64,Yes
4.13,4.13.0-0.ci.test-2023-03-02-214629-ci-ln-xw171tb-latest,4.13,Power off/on,Cluster Recovery,1,54,,cnfdf35,5.14.0-283.rt14.283.el9.x86_64,Yes
4.13,4.13.0-0.ci.test-2023-03-02-214629-ci-ln-xw171tb-latest,4.13,Power off/on,Node Pingable,2,231,8.50,cnfdf35,5.14.0-283.rt14.283.el9.x86_64,Yes
4.13,4.13.0-0.ci.test-2023-03-02-214629-ci-ln-xw171tb-latest,4.13,Power off/on,OC Reachable,2,36,,cnfdf35,5.14.0-283.rt14.283.el9.x86_64,Yes
4.13,4.13.0-0.ci.test-2023-03-02-214629-ci-ln-xw171tb-latest,4.13,Power off/on,Workload Recovery,2,100,,cnfdf35,5.14.0-283.rt14.283.el9.x86_64,Yes
4.13,4.13.0-0.ci.test-2023-03-02-214629-ci-ln-xw171tb-latest,4.13,Power off/on,Cluster Recovery,2,143,,cnfdf35,5.14.0-283.rt14.283.el9.x86_64,Yes
4.12,4.12.6-SPR,4.12,Soft reboot,Node Pingable,1,149,6.72,cnfde30,4.18.0-372.46.1.el8_6.x86_64,No
4.12,4.12.6-SPR,4.12,Soft reboot,OC Reachable,1,81,,cnfde30,4.18.0-372.46.1.el8_6.x86_64,No
4.12,4.12.6-SPR,4.12,Soft reboot,Workload Recovery,1,100,,cnfde30,4.18.0-372.46.1.el8_6.x86_64,No
4.12,4.12.6-SPR,4.12,Soft reboot,Cluster Recovery,1,73,,cnfde30,4.18.0-372.46.1.el8_6.x86_64,No
4.12,4.12.6-SPR,4.12,Soft reboot,Node Pingable,2,154,6.92,cnfde30,4.18.0-372.46.1.el8_6.x86_64,No
4.12,4.12.6-SPR,4.12,Soft reboot,OC Reachable,2,78,,cnfde30,4.18.0-372.46.1.el8_6.x86_64,No
4.12,4.12.6-SPR,4.12,Soft reboot,Workload Recovery,2,145,,cnfde30,4.18.0-372.46.1.el8_6.x86_64,No
4.12,4.12.6-SPR,4.12,Soft reboot,Cluster Recovery,2,38,,cnfde30,4.18.0-372.46.1.el8_6.x86_64,No
4.12,4.12.6-SPR,4.12,Power off/on,Node Pingable,1,113,7.40,cnfde30,4.18.0-372.46.1.el8_6.x86_64,No
