Version,OCP Version,Cluster,Duration,Iteration,Component,CPU,Steady Workloads - Avg
4.8,4.8.15,master-2,8h,1,"{namespace=""open-cluster-management-agent-addon"", pod=""klusterlet-addon-appmgr-""}",0.0043279,
4.8,4.8.15,master-2,8h,1,"{namespace=""openshift-operator-lifecycle-manager"", pod=""olm-operator-""}",0.0469068,
4.8,4.8.15,master-2,8h,1,"{namespace=""openshift-etcd-operator"", pod=""etcd-operator-""}",0.0209492,
4.8,4.8.15,master-2,8h,1,"{namespace=""openshift-machine-config-operator"", pod=""machine-config-operator-""}",0.0079534,
4.8,4.8.15,master-2,8h,1,"{namespace=""openshift-marketplace"", pod=""cluster-logging-operator-""}",0.0030453,
4.8,4.8.15,master-2,8h,1,"{namespace=""openshift-monitoring"", pod=""alertmanager-main-0""}",0.0019315,
4.8,4.8.15,master-2,8h,1,"{namespace=""openshift-monitoring"", pod=""thanos-querier-""}",0.0036079,
4.8,4.8.15,master-2,8h,1,"{namespace=""openshift-sriov-network-operator"", pod=""sriov-device-plugin-""}",0.0000804,
4.8,4.8.15,master-2,8h,1,"{namespace=""openshift-logging"", pod=""cluster-logging-operator-""}",0.0039739,
4.8,4.8.15,master-2,8h,1,"{namespace=""open-cluster-management-agent"", pod=""klusterlet-registration-agent-""}",0.0139624,
4.8,4.8.15,master-2,8h,1,"{namespace=""openshift-multus"", pod=""multus-additional-cni-plugins-""}",0,
4.8,4.8.15,master-2,8h,1,"{namespace=""openshift-multus"", pod=""multus-""}",0.0159112,
4.8,4.8.15,master-2,8h,1,"{namespace=""openshift-operator-lifecycle-manager"", pod=""packageserver-""}",0.0089132,
4.8,4.8.15,master-2,8h,1,"{namespace=""openshift-network-operator"", pod=""network-operator-""}",0.0245895,
4.8,4.8.15,master-2,8h,1,"{namespace=""open-cluster-management-agent-addon"", pod=""klusterlet-addon-workmgr-""}",0.004814,
4.8,4.8.15,master-2,8h,1,"{namespace=""openshift-cluster-samples-operator"", pod=""cluster-samples-operator-""}",0.0036455,
4.8,4.8.15,master-2,8h,1,"{namespace=""openshift-controller-manager"", pod=""controller-manager-""}",0.0049137,
4.8,4.8.15,master-2,8h,1,"{namespace=""openshift-machine-config-operator"", pod=""machine-config-controller-""}",0.001126,
4.8,4.8.15,master-2,8h,1,"{namespace=""open-cluster-management-agent"", pod=""klusterlet-work-agent-""}",0.0104845,
4.8,4.8.15,master-2,8h,1,"{namespace=""openshift-ptp"", pod=""linuxptp-daemon-""}",0.0149817,
4.8,4.8.15,master-2,8h,1,"{namespace=""openshift-sriov-network-operator"", pod=""sriov-network-operator-""}",0.0023464,
4.8,4.8.15,master-2,8h,1,"{namespace=""open-cluster-management-agent-addon"", pod=""klusterlet-addon-policyctrl-framework-""}",0.0019913,
4.8,4.8.15,master-2,8h,1,"{namespace=""openshift-cloud-credential-operator"", pod=""cloud-credential-operator-""}",0.0036494,
4.8,4.8.15,master-2,8h,1,"{namespace=""openshift-cluster-machine-approver"", pod=""machine-approver-""}",0.0020276,
4.8,4.8.15,master-2,8h,1,"{namespace=""openshift-cluster-node-tuning-operator"", pod=""tuned-""}",0.0002417,
4.8,4.8.15,master-2,8h,1,"{namespace=""openshift-ingress"", pod=""router-default-""}",0.0023181,
4.8,4.8.15,master-2,8h,1,"{namespace=""openshift-machine-api"", pod=""cluster-autoscaler-operator-""}",0.0025071,
4.8,4.8.15,master-2,8h,1,"{namespace=""openshift-machine-api"", pod=""cluster-baremetal-operator-""}",0.0003814,
4.8,4.8.15,master-2,8h,1,"{namespace=""openshift-marketplace"", pod=""sriov-network-operator-""}",0.0031281,
4.8,4.8.15,master-2,8h,1,"{namespace=""openshift-ptp"", pod=""ptp-operator-""}",0.0005093,
4.8,4.8.15,master-2,8h,1,"{namespace=""openshift-authentication"", pod=""oauth-openshift-""}",0.0056038,
4.8,4.8.15,master-2,8h,1,"{namespace=""openshift-kube-apiserver"", pod=""kube-apiserver-master-1.cluster1.savanna.lab.eng.rdu2.redhat.com""}",0.4329765,
4.8,4.8.15,master-2,8h,1,"{namespace=""openshift-marketplace"", pod=""ptp-operator-""}",0.0033866,
4.8,4.8.15,master-2,8h,1,"{namespace=""openshift-oauth-apiserver"", pod=""apiserver-b548576-""}",0.0339129,
4.8,4.8.15,master-2,8h,1,"{namespace=""openshift-performance-addon-operator"", pod=""performance-operator-""}",0.0016153,
4.8,4.8.15,master-2,8h,1,"{namespace=""openshift-controller-manager-operator"", pod=""openshift-controller-manager-operator-""}",0.0238676,
4.8,4.8.15,master-2,8h,1,"{namespace=""openshift-kube-scheduler-operator"", pod=""openshift-kube-scheduler-operator-""}",0.0331131,
4.8,4.8.15,master-2,8h,1,"{namespace=""openshift-kube-storage-version-migrator-operator"", pod=""kube-storage-version-migrator-operator-""}",0.0219174,
4.8,4.8.15,master-2,8h,1,"{namespace=""openshift-monitoring"", pod=""prometheus-k8s-0""}",0.3926746,
4.8,4.8.15,master-2,8h,1,"{namespace=""openshift-cluster-storage-operator"", pod=""cluster-storage-operator-""}",0.0096059,
4.8,4.8.15,master-2,8h,1,"{namespace=""openshift-cluster-storage-operator"", pod=""csi-snapshot-controller-operator-""}",0.014402,
4.8,4.8.15,master-2,8h,1,"{namespace=""openshift-monitoring"", pod=""cluster-monitoring-operator-""}",0.0038738,
4.8,4.8.15,master-2,8h,1,"{namespace=""openshift-sriov-network-operator"", pod=""network-resources-injector-""}",0.0001056,
4.8,4.8.15,master-2,8h,1,"{namespace=""open-cluster-management-agent-addon"", pod=""klusterlet-addon-policyctrl-config-policy-""}",0.0197955,
4.8,4.8.15,master-2,8h,1,"{namespace=""openshift-authentication-operator"", pod=""authentication-operator-""}",0.1001195,
4.8,4.8.15,master-2,8h,1,"{namespace=""openshift-ingress-canary"", pod=""ingress-canary-""}",0.0000916,
4.8,4.8.15,master-2,8h,1,"{namespace=""openshift-kube-apiserver-operator"", pod=""kube-apiserver-operator-""}",0.0520793,
4.8,4.8.15,master-2,8h,1,"{namespace=""openshift-monitoring"", pod=""prometheus-adapter-""}",0.0056347,
4.8,4.8.15,master-2,8h,1,"{namespace=""openshift-monitoring"", pod=""node-exporter-""}",0.0093381,
4.8,4.8.15,master-2,8h,1,"{namespace=""openshift-sriov-network-operator"", pod=""sriov-network-config-daemon-""}",0.0007733,
4.8,4.8.15,master-2,8h,1,"{namespace=""openshift-apiserver-operator"", pod=""openshift-apiserver-operator-""}",0.0131277,
4.8,4.8.15,master-2,8h,1,"{namespace=""openshift-cluster-storage-operator"", pod=""csi-snapshot-webhook-""}",0.0000306,
4.8,4.8.15,master-2,8h,1,"{namespace=""openshift-cluster-version"", pod=""cluster-version-operator-""}",0.004633,
4.8,4.8.15,master-2,8h,1,"{namespace=""openshift-image-registry"", pod=""node-ca-""}",0.0003252,
4.8,4.8.15,master-2,8h,1,"{namespace=""openshift-marketplace"", pod=""performance-addon-operator-""}",0.0033341,
4.8,4.8.15,master-2,8h,1,"{namespace=""openshift-marketplace"", pod=""local-storage-operator-""}",0.0030337,
4.8,4.8.15,master-2,8h,1,"{namespace=""openshift-marketplace"", pod=""marketplace-operator-""}",0.0023263,
4.8,4.8.15,master-2,8h,1,"{namespace=""openshift-operator-lifecycle-manager"", pod=""catalog-operator-""}",0.0104235,
4.8,4.8.15,master-2,8h,1,"{namespace=""openshift-config-operator"", pod=""openshift-config-operator-""}",0.0148574,
4.8,4.8.15,master-2,8h,1,"{namespace=""openshift-dns-operator"", pod=""dns-operator-""}",0.001136,
4.8,4.8.15,master-2,8h,1,"{namespace=""openshift-image-registry"", pod=""cluster-image-registry-operator-""}",0.0114136,
4.8,4.8.15,master-2,8h,1,"{namespace=""openshift-kube-controller-manager-operator"", pod=""kube-controller-manager-operator-""}",0.0369753,
4.8,4.8.15,master-2,8h,1,"{namespace=""openshift-local-storage"", pod=""local-storage-operator-""}",0.0019279,
4.8,4.8.15,master-2,8h,1,"{namespace=""openshift-machine-config-operator"", pod=""machine-config-daemon-""}",0.000679,
4.8,4.8.15,master-2,8h,1,"{namespace=""openshift-machine-config-operator"", pod=""machine-config-server-""}",0.0000377,
4.8,4.8.15,master-2,8h,1,"{namespace=""openshift-monitoring"", pod=""kube-state-metrics-""}",0.0018745,
4.8,4.8.15,master-2,8h,1,"{namespace=""openshift-multus"", pod=""network-metrics-daemon-""}",0.0009361,
4.8,4.8.15,master-2,8h,1,"{namespace=""open-cluster-management-agent-addon"", pod=""klusterlet-addon-operator-""}",0.0494941,
4.8,4.8.15,master-2,8h,1,"{namespace=""openshift-kube-scheduler"", pod=""openshift-kube-scheduler-master-1.cluster1.savanna.lab.eng.rdu2.redhat.com""}",0.0083772,
4.8,4.8.15,master-2,8h,1,"{namespace=""openshift-kube-storage-version-migrator"", pod=""migrator-""}",0.0001323,
4.8,4.8.15,master-2,8h,1,"{namespace=""open-cluster-management-agent"", pod=""klusterlet-""}",0.0099098,
4.8,4.8.15,master-2,8h,1,"{namespace=""openshift-logging"", pod=""fluentd-""}",0.0115016,
4.8,4.8.15,master-2,8h,1,"{namespace=""openshift-machine-api"", pod=""machine-api-operator-""}",0.0009465,
4.8,4.8.15,master-2,8h,1,"{namespace=""openshift-ovn-kubernetes"", pod=""ovnkube-master-""}",0.0141916,
4.8,4.8.15,master-2,8h,1,"{namespace=""openshift-service-ca"", pod=""service-ca-""}",0.013561,
4.8,4.8.15,master-2,8h,1,"{namespace=""openshift-sriov-network-operator"", pod=""operator-webhook-""}",0.0000499,
4.8,4.8.15,master-2,8h,1,"{namespace=""openshift-cluster-storage-operator"", pod=""csi-snapshot-controller-""}",0.000405,
4.8,4.8.15,master-2,8h,1,"{namespace=""openshift-dns"", pod=""node-resolver-""}",0.0011059,
4.8,4.8.15,master-2,8h,1,"{namespace=""openshift-etcd"", pod=""etcd-master-1.cluster1.savanna.lab.eng.rdu2.redhat.com""}",0.1416931,
4.8,4.8.15,master-2,8h,1,"{namespace=""openshift-monitoring"", pod=""openshift-state-metrics-""}",0.0003086,
