Version,OCP Version,Operator Version,Index,Max,Min,Avg,Availability,Number of Nines,Cluster,Duration,Kernel,Sideloaded
4.12,4.12.0-0.nightly-2022-10-24-103753-spr,4.12,5,5,3,3,100,100,worker-0,8h,4.18.0-372.32.1.rt7.189.el8_6.spr.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-spr,4.12,6,6,3,3,100,100,worker-0,8h,4.18.0-372.32.1.rt7.189.el8_6.spr.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-spr,4.12,7,6,3,3,100,100,worker-0,8h,4.18.0-372.32.1.rt7.189.el8_6.spr.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-spr,4.12,8,6,3,3,100,100,worker-0,8h,4.18.0-372.32.1.rt7.189.el8_6.spr.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-spr,4.12,9,6,3,3,100,100,worker-0,8h,4.18.0-372.32.1.rt7.189.el8_6.spr.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753,4.12,0,5,2,3,100,100,worker-1,8h,4.18.0-372.26.1.rt7.183.el8_6.x86_64,No
4.12,4.12.0-0.nightly-2022-10-24-103753,4.12,1,6,2,2,100,100,worker-1,8h,4.18.0-372.26.1.rt7.183.el8_6.x86_64,No
4.12,4.12.0-0.nightly-2022-10-24-103753,4.12,10,159,3,3,100,100,worker-1,8h,4.18.0-372.26.1.rt7.183.el8_6.x86_64,No
4.12,4.12.0-0.nightly-2022-10-24-103753,4.12,11,37,3,3,100,100,worker-1,8h,4.18.0-372.26.1.rt7.183.el8_6.x86_64,No
4.12,4.12.0-0.nightly-2022-10-24-103753,4.12,12,5,3,3,100,100,worker-1,8h,4.18.0-372.26.1.rt7.183.el8_6.x86_64,No
4.12,4.12.0-0.nightly-2022-10-24-103753,4.12,13,6,2,2,100,100,worker-1,8h,4.18.0-372.26.1.rt7.183.el8_6.x86_64,No
4.12,4.12.0-0.nightly-2022-10-24-103753,4.12,2,5,2,3,100,100,worker-1,8h,4.18.0-372.26.1.rt7.183.el8_6.x86_64,No
4.12,4.12.0-0.nightly-2022-10-24-103753,4.12,3,158,2,3,100,100,worker-1,8h,4.18.0-372.26.1.rt7.183.el8_6.x86_64,No
4.12,4.12.0-0.nightly-2022-10-24-103753,4.12,4,37,3,3,100,100,worker-1,8h,4.18.0-372.26.1.rt7.183.el8_6.x86_64,No
4.12,4.12.0-0.nightly-2022-10-24-103753,4.12,5,6,3,3,100,100,worker-1,8h,4.18.0-372.26.1.rt7.183.el8_6.x86_64,No
4.12,4.12.0-0.nightly-2022-10-24-103753,4.12,6,6,2,3,100,100,worker-1,8h,4.18.0-372.26.1.rt7.183.el8_6.x86_64,No
4.12,4.12.0-0.nightly-2022-10-24-103753,4.12,7,6,2,3,100,100,worker-1,8h,4.18.0-372.26.1.rt7.183.el8_6.x86_64,No
4.12,4.12.0-0.nightly-2022-10-24-103753,4.12,8,6,2,3,100,100,worker-1,8h,4.18.0-372.26.1.rt7.183.el8_6.x86_64,No
4.12,4.12.0-0.nightly-2022-10-24-103753,4.12,9,5,3,3,100,100,worker-1,8h,4.18.0-372.26.1.rt7.183.el8_6.x86_64,No
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,4.12,0,534,3,3,100,100,worker-0,8h,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,4.12,1,206,3,3,100,100,worker-0,8h,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,4.12,10,7,3,3,100,100,worker-0,8h,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,4.12,11,7,3,3,100,100,worker-0,8h,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,4.12,12,7,3,3,100,100,worker-0,8h,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,4.12,13,66,3,3,100,100,worker-0,8h,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
